timestamp,document,total_tokens,num_chunks,avg_chunk_size,max_chunk_size,min_chunk_size,tokenization_time,chunking_time
2024-09-13T18:43:57.784460,chunks,document,Biosafety_Guidance.txt
2024-09-13T18:50:51.592781,embeddings,num_embeddings,10
2024-09-13T18:50:51.592781,embeddings,embedding_dimension,1536
2024-09-13T18:50:51.592781,embeddings,embedding_generation_start_time,1726267845.9782615
2024-09-13T18:50:51.592781,embeddings,embedding_generation_end_time,1726267847.7394674
2024-09-13T18:50:51.592781,embeddings,embedding_generation_time,1.7612059116363525
2024-09-13T18:50:51.720764,chunks,total_words,4295
2024-09-13T18:50:51.720764,chunks,num_chunks,10
2024-09-13T18:50:51.720764,chunks,avg_chunk_size,3527.2
2024-09-13T18:50:51.720764,chunks,max_chunk_size,5148
2024-09-13T18:50:51.720764,chunks,min_chunk_size,1730
